LT01,Nombre,Tipo,TipoLugar,Pais,Provincia,Ciudad,Punto de Localización,Latitud,Longuitud
LT77,Cascada San Rafael,LugaresTuristicos,Cascada,Ecuador,Napo,Tena,30 km de la ciudad de Tena,-0.1019968,-77.5807714
LT78,Puerto Misahuallí,LugaresTuristicos,Puerto,Ecuador,Napo,Tena,20 km de la ciudad de Tena,-1.0348151,-77.6670608
LT79,Cavernas Del Jumandy,LugaresTuristicos,Caverna,Ecuador,Napo,Archidona,,-0.8753438,-77.7919361
LT80,Parque Nacional Yasuní,LugaresTuristicos,Parque Nacional,Ecuador,Orellana,Yasuni,,-1.1006555,-75.8069082
LT81,Rio Napo,LugaresTuristicos,Rio,Ecuador,Orellana,Puerto Francisco de Orellana,,-0.6701038,-75.6964405
LT82,Cascada La Belleza,LugaresTuristicos,Cascada,Ecuador,Orellana,Francisco de Orellana,,,
LT83,Museo Cicame,LugaresTuristicos,Museo,Ecuador,Orellana,Francisco de Orellana,A 50 kms. abajo de Coca o Francisco de Orellana,-0.4411355,-76.618645
LT85,Parque Acuático Montero Puyo,LugaresTuristicos,Parque Acuatico,Ecuador,Pastaza,Puyo,,-1.487986,-78.0047258
LT86,Cascada Hola Vida,LugaresTuristicos,Casacada,Ecuador,Pastaza,Puyo,"Vía a Macas, desvío a la derecha sector Nuevo Mundo.",,
LT87,Zoocriadero De Fátima,LugaresTuristicos,Atractivo Turistico,Ecuador,Pastaza,Puyo,Se ubica en el Km 7 vía Puyo - Tena,,
LT88,Dique De Mera,LugaresTuristicos,,Ecuador,Pastaza,Mera,,-1.4560321,-78.1052137
LT89,Parque Real,LugaresTuristicos,Parque,Ecuador,Pastaza,Tarqui,,-1.4950378,-77.9860187
LT90,Centro Histórico De Quito,LugaresTuristicos,Atractivo Turistico,Ecuador,Pichinca,Quito,,-0.2188216,-78.5135489
LT91,Mital Del Mundo,LugaresTuristicos,Atractivo Turistico,Ecuador,Pichinca,Quito,,-0.0027576,-78.4548493
LT92,Parque Nacional Ilinizas,LugaresTuristicos,Parque Nacional,Ecuador,Pichinca,Machachi,"Parroquia El Chaupi , Machachi.",-0.7022878,-79.0645056
LT93,Cascada Salto Del Tigre,LugaresTuristicos,Cascada,Ecuador,Pichinca,Pedro Vicente Maldonado,,,
LT94,Fuentes De Tesalia,LugaresTuristicos,Atractivo Turistico,Ecuador,Pichinca,Machachi,,,
LT95,Museo Los Amantes De Sampa,LugaresTuristicos,Museo,Ecuador,Santa Elena,Santa Elena,Al sur este de la ciudad de Santa Elena,-2.2335211,-80.8674806
LT96,Salinas,LugaresTuristicos,Playa,Ecuador,Santa Elena,Salinas,,-2.2233578,-80.9584665
LT97,Montañita,LugaresTuristicos,Playa,Ecuador,Santa Elena,Salinas,Parroquia Manglaralto,-1.8268465,-80.7529731
LT98,Puerto De Carnero,LugaresTuristicos,Playa,Ecuador,Santa Elena,Salinas,Parroquia José Luis Tamayo,-2.273684,-80.9612205
LT99,Acuario De Valdivia,LugaresTuristicos,Acuario,Ecuador,Santa Elena,Salinas,Parroquia Manglaralto,-2.27368,",-80.9612205"
LT100,Santo Domingo,LugaresTuristicos,Atractivo Turistico,Ecuador,Santo Domindo de los Stáchilas,Santo Domingo,,-0.2389045,-79.1774268
LT101,Parque Zacay,LugaresTuristicos,Parque,Ecuador,Santo Domindo de los Stáchilas,Santo Domingo,,-0.2541717,-79.1688151
LT102,Complejo Turistico Rio Cristal,LugaresTuristicos,Atractivo Turistico,Ecuador,Santo Domindo de los Stáchilas,Santo Domingo,A 35 kilómetros de Santo Domingo,-1.7787055,-79.2773867
LT103,Bosque La Perla,LugaresTuristicos,Bosque,Ecuador,Santo Domindo de los Stáchilas,Santo Domingo,"A 40 km. de Santo Domingo de los Tsáchilas, en la vía La Concordia - Esmeraldas.",-0.014502,-79.3866092
LT104,Reserva Faunística Cuyabeno,LugaresTuristicos,Reserva Faunistica,Ecuador,Sucumbíos,Cuyabeno,,-0.2713055,-75.7531906
LT105,Laguna Delfincocha,LugaresTuristicos,Laguna,Ecuador,Sucumbíos,Cuyabeno,Dentro de la reserva Cuyabeno,,
LT106,Rio Aguarico,LugaresTuristicos,Rio,Ecuador,Sucumbíos,Cuyabeno,Se encuentra ubicado en la parroquia Tarapoa,-0.3715772,-76.3511371
LT107,Laguna Grande,LugaresTuristicos,Laguna,Ecuador,Sucumbíos,Cuyabeno,Se encuentra ubicado en la parroquia Tarapoa,-0.0554326,-79.2607628
LT108,Selva Virgen,LugaresTuristicos,Selva,Ecuador,Sucumbíos,,,,
LT109,Baños De Agua Santa,LugaresTuristicos,Balneario,Ecuador,Tungurahua,Baños,,-1.3928344,-78.4268758
LT110,Parque La Familia En Ambato,LugaresTuristicos,Parque,Ecuador,Tungurahua,Ambato,,-1.2438848,-78.6633375
LT111,Casa De Montalvo En Ambato,LugaresTuristicos,Atractivo Turistico,Ecuador,Tungurahua,Ambato,,-1.2437069,",-78.7311897"
LT112,La Cordillera de los Llangantes,LugaresTuristicos,Atractivo Turistico,Ecuador,Tungurahua,Baños de Agua Santa,Se encuentra ubicado en la parroquia Río Negro,-1.1945173,-78.3613482
LT113,El Cariguairazo,LugaresTuristicos,Volcan,Ecuador,Tungurahua,,A sólo 10 km del Chimborazo,-1.4043015,-78.7567377
LT114,Rio Bomboscaro,LugaresTuristicos,Rio,Ecuador,Zamora Chimchipe,Zamora,,-4.0620941,-78.948623
LT115,Cascada La Chismosa,LugaresTuristicos,Cascada,Ecuador,Zamora Chimchipe,Zamora,,,
LT116,Cascada El Oso,LugaresTuristicos,Cascada,Ecuador,Zamora Chimchipe,Zamora,,,
LT117,El Reloj Las Grande Del Mundo,LugaresTuristicos,Atractivo Turistico,Ecuador,Zamora Chimchipe,Zamora,,,
