OBJECTID,POBTOTAL,PPOBTOTAL,POBRURAL,PPOBRURAL,POBURBANA,PPOBURBAN,VIV_TOT,PVIVTOT,VIVRURAL,PVIVRUR,VIVURBANA,PVIVURBAN,INDIRURAL,PINDIRUR,AFRORURAL,PAFRORUR,INDIURBAN,PINDIURB,AFROURBAN,PAFROURB,PORURCNBI,PPORUCNBI,VIRURCNBI,PVIRUCNBI,HORURCNBI,PHORUCNBI,MURURCNBI,PMURUCNBI,INDRUCNBI,AFRRUCNBI,RESRUCNBI,PRUPRUNBI,TOTINDIGE,PPOBINDI,PINDRUNBI,TOTAFRO,PPOBAFRO,PAFRRUNBI,UNIDTERR1,UNIDTERR2,UNIDTERR3,PAIS,GID_3
852,4586,0.03,4586,100,0,0,1375,0.03,1375,100,0,0,0,0,217,4.73,0,0,0,0,3580,0.1,828,60.2,1884,0.11,1696,0.1,0,199,3381,78.06,0,0,0,217,4.73,91.71,MANABI,EL CARMEN,WILFRIDO LOOR MOREIRA (MAICITO),Ecuador,ECU.14.4.3_1
853,6692,0.05,6692,100,0,0,2046,0.04,2046,100,0,0,5,0.07,396,5.92,0,0,0,0,4954,0.14,1102,53.8,2570,0.15,2384,0.14,5,296,4653,74.03,5,0.07,100,396,5.92,74.75,MANABI,EL CARMEN,SAN PEDRO DE SUMA,Ecuador,ECU.14.4.2_1
854,18536,0.13,12339,66.5,6197,33.43,5514,0.12,3672,66.5,1842,33.41,4,0.03,252,2.04,2,0.03,537,0.07,10634,0.31,2451,66.7,5642,0.32,4992,0.29,4,235,10395,86.18,6,0.03,100,789,4.26,93.25,MANABI,FLAVIO ALFARO,FLAVIO ALFARO,Ecuador,ECU.14.5.1_1
855,2779,0.02,2779,100,0,0,788,0.02,788,100,0,0,5,0.18,113,4.07,0,0,0,0,2363,0.07,524,66.5,1258,0.07,1105,0.06,5,108,2250,85.03,5,0.18,100,113,4.07,95.58,MANABI,FLAVIO ALFARO,SAN FRANCISCO DE NOVILLO (CAB. EN NOVILLO),Ecuador,ECU.14.5.2_1
856,3689,0.03,3689,100,0,0,1059,0.02,1059,100,0,0,1,0.03,70,1.9,0,0,0,0,2842,0.08,656,61.9,1477,0.08,1365,0.08,1,68,2773,77.04,1,0.03,100,70,1.9,97.14,MANABI,FLAVIO ALFARO,ZAPALLO,Ecuador,ECU.14.5.3_1
857,49076,0.34,8844,18,40232,81.98,14552,0.31,3156,21.6,11396,78.31,3,0.03,204,2.31,78,0.19,2879,0.37,7988,0.23,2108,66.7,4207,0.24,3781,0.22,3,182,7803,90.32,81,0.17,100,3083,6.28,89.22,MANABI,JIPIJAPA,JIPIJAPA,Ecuador,ECU.14.8.3_1
858,3060,0.02,3060,100,0,0,1374,0.03,1374,100,0,0,2,0.07,48,1.57,0,0,0,0,2532,0.07,764,55.6,1351,0.08,1181,0.07,1,45,2486,82.75,2,0.07,50,48,1.57,93.75,MANABI,JIPIJAPA,AMERICA,Ecuador,ECU.14.8.1_1
859,6864,0.05,6864,100,0,0,2445,0.05,2445,100,0,0,2,0.03,122,1.78,0,0,0,0,5787,0.17,1633,66.7,3098,0.18,2689,0.16,2,73,5712,84.31,2,0.03,100,122,1.78,59.84,MANABI,JIPIJAPA,EL ANEGADO (CAB. EN ELOY ALFARO),Ecuador,ECU.14.8.2_1
860,2175,0.02,2175,100,0,0,732,0.02,732,100,0,0,0,0,95,4.37,0,0,0,0,2035,0.06,531,72.5,1076,0.06,959,0.06,0,79,1956,93.56,0,0,0,95,4.37,83.16,MANABI,JIPIJAPA,JULCUY,Ecuador,ECU.14.8.4_1
861,1941,0.01,1941,100,0,0,801,0.02,801,100,0,0,1,0.05,21,1.08,0,0,0,0,1673,0.05,471,58.8,909,0.05,764,0.04,1,17,1655,86.19,1,0.05,100,21,1.08,80.95,MANABI,JIPIJAPA,LA UNION,Ecuador,ECU.14.8.5_1
